"doi","Journal","Publication_year","Publication_year.2","Excluded.abstract.screening","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","Stat_analysis_software","CodePublished","CodePublished.2","CodePublished.3","LinktoCode","BreafDescription","InlineComments","CodeMentioned","CodeMentioned.2","Location_CodeMentioned","LocationShared","LocationShared.2","Repository","FreeSoftware","DataUsed","DataShared.2","DataShared.3","ExtraComments","Second_screener","Changes_after_second_screening","Remarks_on_decisions"
"10.1890/15-1084.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
"10.1111/1365-2435.12416","FUNCTIONAL ECOLOGY",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R and Winbugs","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.14412","MOLECULAR ECOLOGY",2018,"2018-2019","yes",NA,NA,"perspective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2017.2714","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","lms, mixed models","JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes","Data used come from other studies that published their data in dryad, and therefore, since data is available, datashared = yes",NA,NA,NA
"10.1002/ecs2.1455","ECOSPHERE",2016,"2015-2016","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/2041-210X.12855","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","no","yes","no","the method is a simulation tool, correlations","R","yes","yes","yes","https://zenodo.org/record/831710#.XTGa5eszbb0","yes, the function developed comes with a manual, but R version not provided, though date accessed provided in the citation, which I guess should do","yes","yes, code and script","yes","dataaccessibility and methods","repository and supplementary file","repository","Zenodo and GitHub","yes","yes","yes","yes","code originally in Github but archived via Zenodo (which gives it a doi), all data is simulated, since code is provided datashared=yes",NA,NA,NA
"10.1111/1365-2435.12576","FUNCTIONAL ECOLOGY",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R and JAGS","yes","yes","yes","https://doi.org/10.5061/dryad.d87v7","yes, metadata for the datasets seem well reported, and very brief description of what each script is in the dryad page, however, R and R packages versions not provided, and R packages not cited either","yes, some but not many, particularly for the brunchcode","no","no",NA,"repository","repository","Dryad","yes","yes","yes","yes",NA,"AST","CodePublished changed from no to yes, and all the necessary extra information added",NA
"10.1098/rspb.2015.2725","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R not cited, and R and R package versions not provided","AST",NA,NA
"10.1098/rspb.2018.0566","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes",NA,NA,"commentary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2664.13262","JOURNAL OF APPLIED ECOLOGY",2019,"2018-2019","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2018.2047","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","yes",NA,NA,"review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2018.1452","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","hurdle models, glms, lms, lmms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, R packages versions not provided",NA,NA,NA
"10.1086/695956","AMERICAN NATURALIST",2018,"2018-2019","no","no","no","it is a reply to a commentary that has not analyses in despite (misleadingly) refering to a negative correlation in the abstract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC",NA,NA
"10.1111/1755-0998.12981","MOLECULAR ECOLOGY RESOURCES",2019,"2018-2019","no","yes","yes","sequencing, penalized lasso regularization paths, lms, subsampling procedure, Tukeys tests, ANOVAs","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.n4h3672","yes, good explanations, but R not properly cited, and R and R package versions not provided","yes","yes, script","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.1493","ECOSPHERE",2016,"2015-2016","no","yes","no","quite simple corelations, thought the main point of the paper is more an overivew","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","partially","yes",NA,"AST-quick",NA,NA
"10.1111/mec.13334","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes","bioinformatic anlaysis in R","R and Bash and Python and C and QuantiNemo","yes","yes","yes","https://github.com/anpefi/Vilas_et_al.15","yes","yes","yes, script","yes","dataaccessibility","repository","repository","GitHub","yes","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1002/ecs2.2070","ECOSPHERE",2018,"2018-2019","no","yes","no","glms, correlations, LSD tests, major axis regressions, ANCOVAs","R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","no","no","open access, R not properly cited, R package version not provided",NA,NA,NA
"10.1098/rspb.2016.0125","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no","cladistic anlaysis","TNT","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes",NA,"AST-quick",NA,NA
"10.1086/688507","AMERICAN NATURALIST",2016,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.1555","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1098/rspb.2016.0324","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Mathematica","yes","yes","yes","http://rspb.royalsocietypublishing.org/content/283/1832/20160324","yes","yes","no","no",NA,"supplementary file","supplementary file",NA,"no","no",NA,NA,NA,NA,NA,NA
"10.1111/1755-0998","MOLECULAR ECOLOGY RESOURCES",2015,"2015-2016","no","no","yes","population genetic analaysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/2041-210X.12411","METHODS IN ECOLOGY AND EVOLUTION",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","R","yes","yes","yes","http://www.gov.scot/Topics/marine/science/MSInteractive/Themes/pcod","yes","yes","yes, code","yes","dataaccessibility","webpage (govermental)","webpage",NA,"yes","no",NA,NA,NA,NA,NA,NA
"10.1098/rspb.2018.2778","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","no","yes","no","GAMLSS, pairwise comparisons, AIC, Tukey tests, lms","R and JAVA","some","some","yes","https://extavourlab.github.io/TransgenerationalEffectOfNutrition/","yes, it comes with a dataviz webpage that is really cool, which java code is available, but the R code is not available as far as I can see, and that is the code for the analysis. Also, R not properly cited, and R and R packages versions not provided","yes, but little","no","no",NA,"repository","repository","GitHub","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.14418","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","phylogenetic analyses, mann-whitney tests, glms, sequencing, bootstraping","R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes","R not cited and version not provided, Rstudio cited instead",NA,NA,NA
"10.1111/1755-0998.12578","MOLECULAR ECOLOGY RESOURCES",2016,"2015-2016","no","no","yes","developing an interface for already existing program ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2656.12377","JOURNAL OF ANIMAL ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"E-Surge","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,"AST",NA,NA
"10.1002/ecy.2497","ECOLOGY",2019,"2018-2019","no","no","no","description of behaviours, no statistics except means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2015.1975","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"AST-quick",NA,NA
"10.1111/1755-0998.12712","MOLECULAR ECOLOGY RESOURCES",2018,"2018-2019","no","no","yes","sequencing, no really statistics as we know other than very specific from bioinformatics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC",NA,NA
"10.1002/ecs2.1206","ECOSPHERE",2016,"2015-2016","no","no","no","decision anlaysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/2041-210X.12384","METHODS IN ECOLOGY AND EVOLUTION",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.2561","ECOSPHERE",2019,"2018-2019","no","yes","no","regressions and several indices/metrics (e.g. FQI)","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","open access, software used for the analyses unknown","AC-quick",NA,NA
"10.1002/eap.1377","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"AST-quick",NA,NA
"10.1111/mec.14589","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","sequencing, redundancy analysis, BIC, discriminant analysis, permutations, mantel tests, pop. Genetics","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.db6177b","no, but all package versions available, except R version itself","yes, but little","yes, script","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2435.12423","FUNCTIONAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2015.0832","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.1444","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"Maxent","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","partially","yes",NA,NA,NA,NA
"10.1111/2041-210X.13073","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","no","yes","no","correlations, boundary strength analysis","MATLAB","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.g66247g","yes, seems okish clear, but can find MATLAB version","yes","yes, script","yes","dataaccessibility","repository and supplementary file","repository","Dryad","no","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.2215","ECOSPHERE",2018,"2018-2019","no","yes","no","population models, MCMC exponential models","R","yes","yes","yes","https://github.com/mskoldSU/ReproductiveRates","yes, functions accopained with good descriptions, but R version not provided and JAGs version only provided in the supplements, R packages tydiverse and cowplot not cited in the main manuscritpt, and versions not provided, as far as I can see, in the code","yes","yes, code","yes","dataaccessibility and supplement","repository","repository","GitHub","yes","yes","yes","yes","open access",NA,NA,NA
"10.1002/ecs2.2166","ECOSPHERE",2018,"2018-2019","no","yes","no","lms, glms, PCA","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access","AC",NA,NA
"10.1111/2041-210X.12551","METHODS IN ECOLOGY AND EVOLUTION",2016,"2015-2016","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AST-quick",NA,"they have formulas and procedures in the main tekst and the supplement. Not sure if this is enought to reproduce what they have done. Tricky one, it seems mostly theoretical, however, my feeling is that they had to simulate data to create figures 1 and 2, and if so, data would be needed to reproduce it? It is unclear though. Futhermore, I cannot find any software being used, which would anyway be the case if they did not run anything, perhaps it is conservative to simply call this as statistical.analysis.or/and.simulations = no"
"10.1111/1365-2664.12652","JOURNAL OF APPLIED ECOLOGY",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.2403","ECOSPHERE",2018,"2018-2019","no","yes","no","matched-pair analysis and standard regression test","JMP and EcoSim","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","open access",NA,NA,NA
"10.1002/ecs2.2504","ECOSPHERE",2018,"2018-2019","no","yes","no","ANOVAs, Tukey post hoc tests, non-metric multidimensional scaling","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access, R packages not cited and their versions not provided (except 1)","AC",NA,NA
"10.1111/1365-2656.12927","JOURNAL OF ANIMAL ECOLOGY",2019,"2018-2019","no","yes","yes","lmms, repeatability, correlations","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R and R packages not properly cited, and R packages version not provided","AC","bioinformatic.analysis changed from no to yes based on the authors reporting that DNA damage was estimated",NA
"10.1890/15-1293.1","ECOLOGY",2016,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1111/mec.13850","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes","non bioinformatic anlalysis are simple, bioinformatic anlaysis in R","R","yes","yes","yes","http://datadryad.org/resource/doi:10.5061/dryad.mp745","yes","yes","yes, script","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1086/682667","AMERICAN NATURALIST",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecs2.1441","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"R and SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","no","no",NA,NA,NA,NA
"10.1111/2041-210X.12524","METHODS IN ECOLOGY AND EVOLUTION",2016,"2015-2016","no","yes","no","develop/extend, run/impelement a model","IBM ILOG CPLEX","yes","yes","yes","http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12524/abstract","yes","yes","yes, code","yes","supplement","supplementary file","supplementary file",NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.2233","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","no","yes","sequencing, phylogeny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC",NA,NA
"10.1111/1755-0998.12511","MOLECULAR ECOLOGY RESOURCES",2016,"2015-2016","no","yes","yes","develop and apply a new R package","R","yes","yes","yes","package: https://informatique-mia.inra.fr/biosp/cloncase; https://github.com/ssoubeyrand/CloNcaSe","yes","yes","no","no",NA,"repository","repository","GitHub","yes","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2664.12419","JOURNAL OF APPLIED ECOLOGY",2015,"2015-2016","yes",NA,NA,"paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspb.2019.0396","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","no","yes","no","lms, ANOVAs, Analysis of deviance, glms","R and SYSTAT","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes","R version not provided",NA,NA,NA
"10.1111/1365-2435.12480","FUNCTIONAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2656.12890","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","no","yes","no","glmms, correlations, AIC","SAS","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.v056r5h","yes, great descriptions","yes","no","no",NA,"repository","repository","Dryad","no","yes","yes","yes",NA,"AC",NA,NA
"10.1086/697223","AMERICAN NATURALIST",2018,"2018-2019","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","they used code from someonelse to run some analyses, the R script should be available in a GitHub repository, but not easily findable.",NA,NA,NA
"10.1002/ecs2.2660","ECOSPHERE",2019,"2018-2019","no","yes","no","multiple regressions, correlations, Shapiro-Wilk W tests, lms","JMP","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","open access","AC",NA,NA
"10.1111/1365-2656.12808","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","no","yes","no","correlations, glmms, AIC, GAMs, glms, bootstraping","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","Syntax of the full glmm provided in the supplements but that is all. R packages versions of 3 out of 4 not provided",NA,NA,NA
"10.1002/ecy.2147","ECOLOGY",2018,"2018-2019","no","yes","no","regressions and built an interaction model","STELLA","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","STELLA is a programming language: https://en.wikipedia.org/wiki/STELLA_(programming_language)","AC",NA,NA
"10.1890/ES15-00420.1","ECOSPHERE",2015,"2015-2016","no","yes","no","method to calculate CI intervals","R","yes","yes","yes","http://esapubs.org/archive/ecos/C006/078/suppl-1.php","yes","no","yes, code","yes","methods","supplementary file","supplementary file",NA,"yes","no",NA,NA,NA,"AST-quick",NA,NA
"10.1111/mec.13649","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes","PCA analysis","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.13635","MOLECULAR ECOLOGY",2016,"2015-2016","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/ecs2.2585","ECOSPHERE",2019,"2018-2019","no","yes","no","correlations, boosted regression trees","Not Stated","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","open access, software used for the analyses unknown","AC",NA,NA
"10.1111/mec.14979","MOLECULAR ECOLOGY",2019,"2018-2019","no","yes","no","glmms, glms, AIC, correlations, bootstrapping","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions of 4 out of 5 packages not provided",NA,NA,NA
"10.1002/ecs2.2638","ECOSPHERE",2019,"2018-2019","no","yes","no","correlations, AIC, randomizations, PGLS","R","yes","yes","yes","https://doi.org/10.1002/ecs2.2638","yes, input for the code well explained in a separate file, but R package versions not provided for at least 2 packages, also, data not provided despite being so well explained (see DataS1)","yes, but little","no","no",NA,"supplementary file","supplementary file",NA,"yes","yes","no","no","open access, code is available because paper open access, DataS1 contains a code and a pdf with explanations for the code, no data. Somehow it feels like they would have forgotten to add the data to that zip. DataS1 is referred to in the text in methods but it is referred for the data, odd",NA,NA,NA
"10.1098/rspb.2016.0062","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","no",NA,"SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no",NA,NA,NA,NA
"10.1098/rspb.2015.0228","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"MATLAB","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,"AST-quick",NA,NA
"10.1111/1365-2435.13040","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","ANOVAs, lmms, t tests","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R package version of 1 package (out of 2) not provided",NA,NA,NA
"10.1111/1365-2656.12340","JOURNAL OF ANIMAL ECOLOGY",2015,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/1365-2656.12888","JOURNAL OF ANIMAL ECOLOGY",2018,"2018-2019","no","yes","no","AIC, survival analyses, glmms, glms, correlations, lms, simulations, LTRE analysis","R and MARK","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","R packages versions not provided. MARK called from R through package Rmark",NA,NA,NA
"10.1002/ecs2.2475","ECOSPHERE",2018,"2018-2019","no","yes","no","glms, GAMs","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","open access, R and R packages versions not provided just years in the citations (e.g. 2016)",NA,NA,NA
"10.1890/ES14-00522.1","ECOSPHERE",2015,"2015-2016","no","yes","no",NA,"SPSS","yes","yes","yes","https://figshare.com/articles/Appendix_A_An_example_of_SPSS_syntax_for_a_full_generalised_linear_mixed_model_using_long-tailed_mouse_count_as_a_dependent_variable_/3564546","no","no","yes, syntax","yes","methods","repository","repository","Figshare","no","yes","no","no",NA,NA,NA,NA
"10.1111/mec.13386","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"R and Ecosim","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2016.0172","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2016,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1002/ecy.2444","ECOLOGY",2018,"2018-2019","no","yes","no","correlations, mixed models, ANOVAS, post-hoc tests","R and SPSS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","no","no","R not cited but mentioned including version",NA,NA,NA
"10.1098/rspb.2019.0365","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2019,"2018-2019","no","yes","no","lms, correlations, modelling simulations","Minitab and Python","some","some","yes","https://datadryad.org/resource/doi:10.5061/dryad.k7m5vf4","yes","no","yes, code","yes","dataaccessibility","repository","repository","Dryad","partially","yes","yes","yes","open access, the minitab was used for the statistical analyses, but the code (if any) does not seem availabe",NA,NA,NA
"10.1111/mec.13426","MOLECULAR ECOLOGY",2015,"2015-2016","no","yes","yes",NA,"R and SPSS and ZT Software","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"partially","yes","yes","yes",NA,"AST","SPSS added to the software used list",NA
"10.1002/ecs2.1389","ECOSPHERE",2016,"2015-2016","no","yes","no",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA,NA,NA
